RealSense_frame,Vicon_frame,Vicon_timestamp,RightHand1:Wrist1_X,RightHand1:Wrist1_Y,RightHand1:Wrist1_Z,RightHand1:Wrist2_X,RightHand1:Wrist2_Y,RightHand1:Wrist2_Z,RightHand1:Wrist3_X,RightHand1:Wrist3_Y,RightHand1:Wrist3_Z,RightHand1:Thumb1_X,RightHand1:Thumb1_Y,RightHand1:Thumb1_Z,RightHand1:Thumb2_X,RightHand1:Thumb2_Y,RightHand1:Thumb2_Z,RightHand1:Thumb3_X,RightHand1:Thumb3_Y,RightHand1:Thumb3_Z,RightHand1:IndexFinger1_X,RightHand1:IndexFinger1_Y,RightHand1:IndexFinger1_Z,RightHand1:IndexFinger2_X,RightHand1:IndexFinger2_Y,RightHand1:IndexFinger2_Z,RightHand1:IndexFinger3_X,RightHand1:IndexFinger3_Y,RightHand1:IndexFinger3_Z,Realsense:Camera1_X,Realsense:Camera1_Y,Realsense:Camera1_Z,Realsense:Camera2_X,Realsense:Camera2_Y,Realsense:Camera2_Z,Realsense:Camera3_X,Realsense:Camera3_Y,Realsense:Camera3_Z,Pringles:Corner1_X,Pringles:Corner1_Y,Pringles:Corner1_Z,Pringles:Corner2_X,Pringles:Corner2_Y,Pringles:Corner2_Z,Pringles:Corner3_X,Pringles:Corner3_Y,Pringles:Corner3_Z,Pringles:Corner4_X,Pringles:Corner4_Y,Pringles:Corner4_Z,Pringles:Corner5_X,Pringles:Corner5_Y,Pringles:Corner5_Z,Pringles:Corner6_X,Pringles:Corner6_Y,Pringles:Corner6_Z,Pringles:Corner7_X,Pringles:Corner7_Y,Pringles:Corner7_Z,Pringles:Corner8_X,Pringles:Corner8_Y,Pringles:Corner8_Z,LeftHand1:IndexFinger1_X,LeftHand1:IndexFinger1_Y,LeftHand1:IndexFinger1_Z,LeftHand1:IndexFinger2_X,LeftHand1:IndexFinger2_Y,LeftHand1:IndexFinger2_Z,LeftHand1:IndexFinger3_X,LeftHand1:IndexFinger3_Y,LeftHand1:IndexFinger3_Z,LeftHand1:Thumb1_X,LeftHand1:Thumb1_Y,LeftHand1:Thumb1_Z,LeftHand1:Thumb2_X,LeftHand1:Thumb2_Y,LeftHand1:Thumb2_Z,LeftHand1:Thumb3_X,LeftHand1:Thumb3_Y,LeftHand1:Thumb3_Z,LeftHand1:Wrist1_X,LeftHand1:Wrist1_Y,LeftHand1:Wrist1_Z,LeftHand1:Wrist2_X,LeftHand1:Wrist2_Y,LeftHand1:Wrist2_Z,LeftHand1:Wrist3_X,LeftHand1:Wrist3_Y,LeftHand1:Wrist3_Z,LeftHand1:Wrist4_X,LeftHand1:Wrist4_Y,LeftHand1:Wrist4_Z
00071_color_1715720058.908109.png,762,1715720058.913073,601.410522,1327.369507,964.866638,545.409668,1366.34668,970.194092,590.102722,1384.948975,993.819397,648.207397,1360.203247,969.565613,678.373596,1343.23999,955.798462,697.370483,1316.166504,953.667114,654.003479,1280.774292,939.970764,667.475708,1265.901367,919.40094,685.456604,1253.859375,897.481323,,,,,,,,,,478.666321,-393.815491,947.784241,539.797241,-396.513947,949.977783,540.831726,-327.298676,948.840576,479.505005,-326.758362,949.221252,483.062286,-393.346558,739.628113,543.481201,-395.458618,741.201355,543.57251,-324.93515,741.511963,487.181488,-322.118195,743.447876,187.784409,118.234772,766.583008,218.690735,118.180031,759.01123,240.732834,120.355324,752.651306,117.016907,75.313919,764.362549,147.982407,62.623001,758.500549,180.642136,56.200321,751.553711,140.121796,131.569397,775.691772,128.091461,160.269104,763.848999,91.730972,141.27951,773.377991,28.625021,137.350601,785.393188
00072_color_1715720058.942480.png,765,1715720058.943073,606.290833,1322.924805,964.297913,553.449036,1364.303345,969.908752,598.205994,1380.438965,994.312195,654.505859,1352.777832,969.125244,683.912964,1334.649658,955.049194,701.413513,1306.70874,952.330261,656.099854,1274.024292,938.222839,669.397156,1258.710205,917.916687,686.405212,1246.572998,895.263245,,,,,,,,,,478.681152,-393.812408,947.781738,539.816528,-396.532257,949.966797,540.839294,-327.288422,948.844421,479.512787,-326.779053,949.224548,483.061279,-393.365509,739.63446,543.501831,-395.454346,741.184326,543.569092,-324.934753,741.51123,487.181244,-322.114532,743.451843,187.96434,117.930099,766.214844,218.982422,118.200447,759.100708,241.014267,120.482285,752.782288,117.21434,74.817497,764.102661,148.189514,62.24041,758.301331,181.003036,55.961292,751.434509,140.272324,131.241257,775.507874,128.127457,159.952866,763.817627,91.858871,140.843872,773.233582,28.78772,136.66629,785.368958
00073_color_1715720058.976969.png,768,1715720058.973073,612.361694,1317.406738,964.529663,560.449402,1361.442383,971.42688,607.504089,1373.300415,996.287231,661.978088,1345.152832,969.539612,690.607727,1325.640747,955.53009,706.760803,1296.962524,952.242798,659.859009,1266.577026,938.087097,672.626892,1250.618774,917.596252,688.80249,1237.726807,894.801025,,,,,,,,,,478.683289,-393.805084,947.790894,539.84436,-396.505859,949.96405,540.842712,-327.271179,948.859375,479.520569,-326.7612,949.234253,483.061096,-393.354858,739.63501,543.501038,-395.458984,741.18811,543.574463,-324.916229,741.515076,487.182037,-322.099854,743.455505,188.145554,117.855537,765.701538,219.145493,118.142525,758.698486,241.182098,120.434242,752.498657,117.39212,74.658607,764.026062,148.348724,61.98399,758.196472,181.325851,56.055058,751.66803,140.538864,131.085205,775.096436,128.318802,159.766098,763.59668,92.168968,140.678619,773.113647,29.070751,136.633911,785.452515
00074_color_1715720059.011042.png,772,1715720059.013073,622.400635,1307.640137,964.484436,572.557251,1353.917236,971.669128,620.337097,1363.566162,996.406494,673.352051,1333.077637,969.530457,700.82312,1312.388184,955.252747,715.729797,1282.950195,951.81897,667.523926,1254.903076,937.65741,679.616699,1238.566406,917.189087,695.26416,1225.070923,894.420776,,,,,,,,,,478.706238,-393.793152,947.784485,539.849609,-396.516144,949.956543,540.865356,-327.2901,948.846619,479.531616,-326.735992,949.228088,483.084076,-393.375275,739.616394,543.520569,-395.458221,741.189392,543.598572,-324.923981,741.508118,487.20224,-322.11084,743.452332,188.272125,118.163979,765.090881,219.38475,118.45314,758.512024,241.551834,120.781441,752.503296,117.66571,74.977531,764.272949,148.59462,62.451511,758.644836,181.501923,55.804569,751.470215,140.845154,131.313293,774.47052,128.489624,159.920868,763.242615,92.518356,141.001495,772.861633,29.399763,137.270065,785.400146
00075_color_1715720059.045660.png,775,1715720059.0430732,630.951782,1298.142456,963.11084,582.518372,1345.79187,970.586975,630.551758,1353.970825,995.272278,682.49353,1322.095581,968.140259,709.453125,1300.796997,953.860474,723.615356,1270.968506,950.327026,674.791138,1244.286377,935.855835,686.266174,1227.861572,915.188354,701.603821,1214.249512,892.108459,,,,,,,,,,478.735352,-393.765167,947.781433,539.869507,-396.51532,949.946838,540.882629,-327.27063,948.833008,479.556641,-326.731323,949.2146,483.099121,-393.349915,739.618103,543.539185,-395.452789,741.174622,543.622864,-324.908966,741.502136,487.232117,-322.100983,743.421082,188.431534,118.392197,764.781555,219.675064,118.740265,758.440308,241.830688,120.981598,752.510742,118.016876,75.268517,764.449097,148.835175,62.362961,758.496399,181.665237,55.780602,751.539917,141.062744,131.477249,773.975464,128.55159,160.281631,763.196289,92.801987,141.383575,772.656433,29.641809,137.778519,785.344543
00076_color_1715720059.081431.png,779,1715720059.0830731,643.245972,1282.157593,959.610901,596.10083,1331.050293,967.537964,644.501221,1337.86731,992.121033,695.503357,1304.7146,964.71167,721.73053,1282.749268,950.025452,735.079041,1252.565063,946.407715,685.548218,1227.173584,932.099548,696.562012,1210.522949,911.465088,711.656433,1196.485474,888.440247,,,,,,,,,,478.841858,-393.766144,947.724976,539.93811,-396.494446,949.91864,540.964172,-327.241364,948.810181,479.63913,-326.730713,949.180664,483.151947,-393.329834,739.599243,543.597656,-395.419067,741.15033,543.670654,-324.886749,741.489502,487.294983,-322.081299,743.407898,188.88652,118.503403,764.481995,220.275696,118.947464,758.314087,242.409775,121.115616,752.43927,118.419296,75.479881,764.707642,149.299057,62.360077,758.647095,182.092087,55.570084,751.645508,141.648239,131.530502,773.610779,128.946991,160.305283,763.053406,93.319626,141.615372,772.450562,30.212904,138.27597,785.328735
00077_color_1715720059.115807.png,782,1715720059.113073,652.694885,1267.364014,956.101807,606.430847,1317.260864,964.132629,655.06427,1323.130615,988.439392,705.29303,1288.859131,960.894409,731.252197,1266.368652,946.389709,743.910034,1236.012939,942.581299,693.867798,1211.695068,928.371948,704.492065,1194.763916,907.601257,719.228943,1180.466675,884.750916,,,,,,,,,,478.879333,-393.761261,947.729919,539.993591,-396.473541,949.926636,541.006226,-327.240326,948.800354,479.680664,-326.725555,949.16272,483.201141,-393.319275,739.58136,543.651672,-395.405365,741.161926,543.708374,-324.875732,741.4599,487.32782,-322.050476,743.402222,189.381195,118.551613,764.322205,220.791733,119.054405,758.282227,242.920242,121.200661,752.457581,118.879669,75.533379,764.80249,149.712677,62.270939,758.709839,182.502167,55.317413,751.660522,142.118027,131.299942,773.103882,129.391998,160.292282,762.986084,93.760704,141.716034,772.329041,30.725622,138.53717,785.313843
00078_color_1715720059.150068.png,786,1715720059.153073,665.374756,1243.943604,950.094666,620.420593,1294.934937,958.100952,669.078857,1299.664917,982.568909,718.57251,1264.193848,954.900391,743.896606,1241.116943,940.311707,755.656921,1210.394165,936.479492,705.220703,1187.299927,922.36377,715.391174,1170.261597,901.73114,729.9953,1155.605713,878.689148,,,,,,,,,,478.915924,-393.737427,947.71875,540.030029,-396.4534,949.913147,541.039001,-327.221832,948.782349,479.715454,-326.708405,949.1521,483.231232,-393.285614,739.576111,543.678772,-395.41098,741.137329,543.733582,-324.863159,741.4505,487.359009,-322.049774,743.374512,190.014023,118.546234,764.18573,221.321274,119.002487,758.14856,243.462219,121.243088,752.410461,119.424164,75.194702,764.620911,150.091934,61.991173,758.714844,183.040588,54.927864,751.661072,142.642426,131.140228,772.882568,129.850403,159.768158,762.571594,94.268074,141.525787,772.189148,31.311825,138.652222,785.348694
00079_color_1715720059.184691.png,789,1715720059.183073,675.240845,1223.945679,945.320679,630.802002,1275.521973,953.525696,679.640015,1279.740356,977.721619,728.664001,1243.619263,949.895813,753.597229,1220.299561,935.208618,765.151245,1189.489014,931.409607,714.344299,1166.847778,917.39679,724.411926,1149.791138,896.587097,738.541931,1134.822876,873.62793,,,,,,,,,,478.927277,-393.739227,947.718811,540.040894,-396.449707,949.907837,541.046204,-327.253448,948.785156,479.720001,-326.714966,949.158264,483.238953,-393.298981,739.573669,543.698242,-395.418243,741.134033,543.73053,-324.875183,741.45166,487.372711,-322.053314,743.393127,190.199371,118.297569,763.977051,221.644409,118.9179,758.03418,243.784729,121.309898,752.426514,119.669579,75.00412,764.589966,150.301819,61.69936,758.693604,183.352463,54.630272,751.66272,142.961853,131.184738,773.027832,130.129257,159.964432,762.97937,94.560799,141.290894,772.121399,31.610462,138.495071,785.338074
00080_color_1715720059.218418.png,793,1715720059.223073,689.107971,1194.202881,940.105103,644.532104,1246.716553,948.781738,693.611938,1250.484131,972.702026,742.572205,1213.472778,944.568542,766.697144,1190.112061,929.822571,777.913757,1159.295288,926.097229,726.917908,1137.129272,912.344971,736.570374,1119.930054,891.467224,750.658691,1104.724854,868.438171,,,,,,,,,,478.952118,-393.747559,947.712341,540.044189,-396.453003,949.916199,541.060852,-327.238556,948.786804,479.728455,-326.720001,949.150818,483.237366,-393.294617,739.580383,543.707764,-395.423248,741.142456,543.741333,-324.894501,741.435425,487.37204,-322.044708,743.398499,190.503906,118.386215,763.975281,221.799454,118.83091,757.956665,243.940994,121.323814,752.435852,119.708008,74.594955,764.379822,150.39296,61.243713,758.571167,183.558044,54.302292,751.589172,143.110291,130.774185,772.87854,130.219147,159.639938,763.042847,94.703804,140.851929,772.174744,31.770926,138.102203,785.451599
