RealSense_frame,Vicon_frame,Vicon_timestamp,RightHand1:Wrist1_X,RightHand1:Wrist1_Y,RightHand1:Wrist1_Z,RightHand1:Wrist2_X,RightHand1:Wrist2_Y,RightHand1:Wrist2_Z,RightHand1:Wrist3_X,RightHand1:Wrist3_Y,RightHand1:Wrist3_Z,RightHand1:Thumb1_X,RightHand1:Thumb1_Y,RightHand1:Thumb1_Z,RightHand1:Thumb2_X,RightHand1:Thumb2_Y,RightHand1:Thumb2_Z,RightHand1:Thumb3_X,RightHand1:Thumb3_Y,RightHand1:Thumb3_Z,RightHand1:IndexFinger1_X,RightHand1:IndexFinger1_Y,RightHand1:IndexFinger1_Z,RightHand1:IndexFinger2_X,RightHand1:IndexFinger2_Y,RightHand1:IndexFinger2_Z,RightHand1:IndexFinger3_X,RightHand1:IndexFinger3_Y,RightHand1:IndexFinger3_Z,Realsense:Camera1_X,Realsense:Camera1_Y,Realsense:Camera1_Z,Realsense:Camera2_X,Realsense:Camera2_Y,Realsense:Camera2_Z,Realsense:Camera3_X,Realsense:Camera3_Y,Realsense:Camera3_Z,LeftHand1:IndexFinger1_X,LeftHand1:IndexFinger1_Y,LeftHand1:IndexFinger1_Z,LeftHand1:IndexFinger2_X,LeftHand1:IndexFinger2_Y,LeftHand1:IndexFinger2_Z,LeftHand1:IndexFinger3_X,LeftHand1:IndexFinger3_Y,LeftHand1:IndexFinger3_Z,LeftHand1:Thumb1_X,LeftHand1:Thumb1_Y,LeftHand1:Thumb1_Z,LeftHand1:Thumb2_X,LeftHand1:Thumb2_Y,LeftHand1:Thumb2_Z,LeftHand1:Thumb3_X,LeftHand1:Thumb3_Y,LeftHand1:Thumb3_Z,LeftHand1:Wrist1_X,LeftHand1:Wrist1_Y,LeftHand1:Wrist1_Z,LeftHand1:Wrist2_X,LeftHand1:Wrist2_Y,LeftHand1:Wrist2_Z,LeftHand1:Wrist3_X,LeftHand1:Wrist3_Y,LeftHand1:Wrist3_Z,LeftHand1:Wrist4_X,LeftHand1:Wrist4_Y,LeftHand1:Wrist4_Z,Cup:Corner1_X,Cup:Corner1_Y,Cup:Corner1_Z,Cup:Corner2_X,Cup:Corner2_Y,Cup:Corner2_Z,Cup:Corner3_X,Cup:Corner3_Y,Cup:Corner3_Z,Cup:Corner4_X,Cup:Corner4_Y,Cup:Corner4_Z,Cup:Corner5_X,Cup:Corner5_Y,Cup:Corner5_Z,Cup:Corner6_X,Cup:Corner6_Y,Cup:Corner6_Z,Cup:Corner7_X,Cup:Corner7_Y,Cup:Corner7_Z,Cup:Corner8_X,Cup:Corner8_Y,Cup:Corner8_Z,CerealBox:Corner1_X,CerealBox:Corner1_Y,CerealBox:Corner1_Z,CerealBox:Corner2_X,CerealBox:Corner2_Y,CerealBox:Corner2_Z,CerealBox:Corner3_X,CerealBox:Corner3_Y,CerealBox:Corner3_Z,CerealBox:Corner4_X,CerealBox:Corner4_Y,CerealBox:Corner4_Z,CerealBox:Corner5_X,CerealBox:Corner5_Y,CerealBox:Corner5_Z,CerealBox:Corner6_X,CerealBox:Corner6_Y,CerealBox:Corner6_Z,CerealBox:Corner7_X,CerealBox:Corner7_Y,CerealBox:Corner7_Z,CerealBox:Corner8_X,CerealBox:Corner8_Y,CerealBox:Corner8_Z
00076_color_1715716104.314901.png,1968,1715716104.3190918,-162.12973,1190.964478,1112.39563,-218.552246,1208.413208,1088.25647,-186.603409,1246.243408,1111.688843,-123.19162,1232.107666,1116.442383,-87.62458,1219.295044,1122.487305,-63.634827,1195.255249,1132.640259,-102.270988,1149.753174,1130.077759,-81.298744,1129.36731,1125.989258,-57.702549,1112.524658,1117.49585,305.17218,947.636475,1497.057495,251.435455,938.817383,1512.210449,199.468521,955.147827,1490.217529,132.367371,125.154404,759.728149,161.755005,128.674362,754.085388,184.123184,132.07074,751.322449,65.895653,76.183098,762.665344,96.181747,65.574036,756.411743,128.197083,58.897961,750.389038,86.523293,134.304489,771.929504,71.086502,162.640564,762.408997,37.472206,139.341309,775.412231,-25.996851,124.788528,788.820435,479.832581,-410.256195,833.877136,480.098083,-350.644958,833.927307,538.000244,-358.658783,834.979675,527.909058,-415.246979,833.521729,478.24408,-336.202179,738.60022,547.504639,-352.474945,738.320312,531.927185,-418.750061,737.588257,468.145111,-409.643158,738.073975,,,,,,,,,,,,,,,,,,,,,,,,
00077_color_1715716104.349335.png,1971,1715716104.3490918,-143.330322,1206.702759,1124.885498,-200.409119,1223.338745,1100.174561,-169.397781,1261.731323,1123.462646,-105.176285,1248.846069,1129.081543,-69.74585,1236.477051,1134.49707,-44.31889,1214.002563,1145.384399,-82.339661,1166.920288,1142.697266,-60.625813,1147.286377,1138.689209,-36.672565,1131.075928,1130.186279,305.168488,947.635559,1497.070923,251.413101,938.798279,1512.211182,199.467438,955.155273,1490.235718,132.355927,125.192345,759.741333,161.759888,128.72406,754.103333,184.115479,132.092834,751.3479,65.888245,76.19381,762.669128,96.18644,65.596428,756.420166,128.195328,58.926022,750.41156,86.399612,133.860413,771.361877,71.107773,162.603348,762.323425,37.463848,139.383316,775.365173,-25.995684,124.834244,788.798889,479.854034,-410.253174,833.899292,480.103516,-350.628937,833.929382,538.016357,-358.652954,835.002014,527.924072,-415.255188,833.532166,478.249786,-336.16803,738.622498,547.518738,-352.466553,738.340515,531.947449,-418.721497,737.586975,468.143066,-409.643036,738.105103,,,,,,,,,,,,,,,,,,,,,,,,
00078_color_1715716104.383876.png,1974,1715716104.3790917,-126.239822,1219.359863,1137.045654,-183.667816,1235.782593,1111.544678,-153.077255,1274.479248,1135.144165,-88.42495,1261.920044,1141.024902,-52.340462,1250.324585,1146.27063,-26.219263,1228.223145,1156.434082,-64.323036,1180.616333,1154.920288,-42.019279,1161.58728,1150.633179,-17.542561,1146.262085,1141.828735,305.174316,947.627258,1497.078369,251.413376,938.801941,1512.213623,199.459564,955.128784,1490.223389,132.304794,125.208778,759.712219,161.71843,128.733994,754.100159,184.085358,132.135803,751.377136,65.87149,76.218033,762.657898,96.189934,65.613266,756.419983,128.17868,58.931187,750.418335,86.302559,134.005508,771.471497,71.064316,162.639587,762.309753,37.424057,139.409286,775.298401,-26.029833,124.833183,788.714661,479.843781,-410.255493,833.89856,480.101044,-350.628082,833.937378,537.997864,-358.658478,834.992493,527.914673,-415.252594,833.534607,478.249359,-336.190979,738.60498,547.503174,-352.479523,738.327271,531.919556,-418.754517,737.570374,468.150177,-409.679993,738.107422,,,,,,,,,,,,,,,,,,,,,,,,
00079_color_1715716104.424260.png,1979,1715716104.4290917,-100.673302,1232.81665,1153.684448,-156.919449,1251.324463,1125.902466,-126.8377,1289.009521,1152.220215,-62.543854,1274.541626,1159.433228,-25.411655,1263.136353,1164.703491,1.224077,1240.646973,1173.862671,-38.321457,1193.805298,1172.057739,-15.231656,1175.987671,1167.011475,9.944195,1162.183105,1157.551025,305.162933,947.616455,1497.060791,251.414413,938.807678,1512.212646,199.451843,955.101685,1490.21521,132.317932,125.242767,759.72876,161.710083,128.769684,754.109802,184.091797,132.12915,751.353149,65.899841,76.223534,762.66217,96.192039,65.631042,756.437073,128.184677,58.948437,750.435547,86.517197,134.499115,771.940063,70.955948,162.415619,762.078857,37.434227,139.418457,775.279907,-26.027729,124.809799,788.697144,479.841003,-410.2612,833.889282,480.103882,-350.640381,833.925415,538.013367,-358.654083,834.986267,527.912292,-415.268829,833.523865,478.240753,-336.201996,738.615662,547.516296,-352.479767,738.32489,531.925537,-418.739899,737.572021,468.129944,-409.655487,738.091736,,,,,,,,,,,,,,,,,,,,,,,,
00080_color_1715716104.458205.png,1982,1715716104.459092,-84.387215,1237.308105,1160.978394,-140.741272,1257.808838,1132.396484,-110.674438,1295.077271,1159.970459,-45.970577,1279.688721,1168.334961,-9.171872,1267.880981,1173.375244,17.437321,1245.106689,1182.186768,-21.426353,1198.322266,1178.208252,2.052386,1181.328857,1172.095459,27.501375,1168.762329,1161.80249,305.17276,947.630371,1497.060303,251.414246,938.813477,1512.212769,199.451584,955.100769,1490.211792,132.328384,125.24691,759.747681,161.710358,128.738068,754.085571,184.087418,132.134369,751.358582,65.881668,76.229324,762.68689,96.183647,65.614067,756.438049,128.181213,58.959629,750.449402,86.533264,134.512848,771.937683,70.97287,162.503052,762.141541,37.430344,139.438599,775.271851,-26.052029,124.831779,788.689941,479.841888,-410.266205,833.884216,480.092377,-350.639954,833.930481,538.011475,-358.651917,835.006958,527.914612,-415.245789,833.531616,478.225922,-336.184631,738.621521,547.506348,-352.467896,738.330139,531.922852,-418.750488,737.56543,468.137573,-409.691254,738.114441,,,,,,,,,,,,,,,,,,,,,,,,
00081_color_1715716104.492641.png,1985,1715716104.4890919,-67.28479,1242.085205,1165.991455,-123.584724,1263.244751,1136.434326,-93.724052,1300.368774,1164.229492,-28.973812,1284.617798,1173.338013,7.719125,1272.957642,1178.827881,34.252689,1250.166504,1188.046753,-3.977964,1203.545044,1183.405151,19.829939,1186.997192,1176.857544,45.467552,1174.929443,1166.317383,305.184998,947.656982,1497.084961,251.407593,938.814453,1512.213501,199.460144,955.145935,1490.231079,132.39476,125.320389,759.814575,161.739807,128.768616,754.085693,184.102936,132.128708,751.333862,65.90136,76.269249,762.706299,96.185661,65.661583,756.445618,128.196289,58.972664,750.4422,86.536331,134.542618,771.932922,71.017708,162.599258,762.245239,37.441471,139.460571,775.264771,-26.029987,124.916237,788.691956,479.839661,-410.240601,833.90033,480.099365,-350.623474,833.937805,538.009094,-358.655487,835.000305,527.919495,-415.257904,833.532593,478.238129,-336.183014,738.610657,547.507507,-352.468353,738.341309,531.92981,-418.745697,737.596436,468.135742,-409.672913,738.109253,,,,,,,,,,,,,,,,,,,,,,,,
00082_color_1715716104.527149.png,1989,1715716104.5290918,-43.751106,1249.995239,1169.07959,-99.141602,1270.123047,1137.645752,-69.84449,1307.910889,1165.227051,-5.796091,1293.203979,1176.552979,31.097479,1282.269165,1183.002686,57.675983,1260.235718,1193.60083,19.130199,1212.165649,1189.053467,43.27293,1195.881348,1183.618896,69.248009,1183.907959,1173.733276,305.179962,947.648193,1497.081543,251.416122,938.805115,1512.204468,199.462204,955.143372,1490.229858,132.463745,125.319168,759.840698,161.767288,128.751434,754.079224,184.134354,132.14035,751.323547,65.919426,76.243538,762.704346,96.21418,65.640602,756.445496,128.222778,58.947731,750.413208,86.491531,134.149628,771.520142,71.112747,162.787674,762.426392,37.475266,139.487534,775.266235,-25.987518,124.934479,788.689636,479.846161,-410.253265,833.890381,480.106476,-350.625427,833.929749,538.01593,-358.641296,834.993286,527.918396,-415.237854,833.527893,478.241028,-336.156158,738.622803,547.51001,-352.448578,738.327942,531.929565,-418.735474,737.576416,468.131836,-409.66748,738.103516,,,,,,,,,,,,,,,,,,,,,,,,
00083_color_1715716104.562168.png,1992,1715716104.5590918,-24.748505,1256.273682,1169.309814,-79.788864,1275.169434,1136.506958,-50.960747,1313.722534,1163.586426,12.381095,1300.269531,1175.941406,49.118999,1290.326294,1183.627686,75.776009,1268.966187,1195.50293,38.39679,1220.231079,1191.400635,63.004837,1204.422607,1186.612427,89.149719,1192.512207,1176.919556,305.18045,947.644775,1497.07959,251.419067,938.802063,1512.210205,199.459427,955.141235,1490.237183,132.43779,125.284882,759.841553,161.762161,128.741516,754.080139,184.116852,132.122025,751.32074,65.919098,76.216743,762.679077,96.206459,65.617737,756.422607,128.222031,58.952148,750.411621,86.460411,134.131287,771.538574,71.071152,162.743896,762.424011,37.475567,139.434402,775.2547,-26.009859,124.879913,788.66394,479.84436,-410.257202,833.880859,480.109497,-350.632263,833.931946,538.013855,-358.642761,834.987061,527.9198,-415.241882,833.534729,478.247314,-336.179169,738.61969,547.514954,-352.455048,738.337341,531.934692,-418.729736,737.58728,468.141602,-409.676849,738.122681,,,,,,,,,,,,,,,,,,,,,,,,
00084_color_1715716104.596977.png,1996,1715716104.5990918,1.749304,1265.725342,1166.854248,-52.408482,1282.202759,1132.32019,-24.380173,1321.965088,1158.478638,38.011791,1310.882812,1171.932251,74.54277,1301.878418,1181.366943,100.860184,1281.481567,1195.407959,64.824707,1232.175537,1192.316284,89.851212,1216.716553,1188.455688,116.657066,1205.468384,1180.045898,305.18338,947.645813,1497.080322,251.426346,938.800293,1512.212158,199.462204,955.157227,1490.255737,132.439499,125.138443,759.649536,161.791229,128.731064,754.076782,184.14624,132.13562,751.327637,65.927254,76.237732,762.678467,96.247009,65.639046,756.455994,128.245346,58.961369,750.424744,86.454987,134.140411,771.548218,71.055817,162.69635,762.367126,37.483543,139.456894,775.254456,-26.008648,124.86821,788.648376,479.845337,-410.247467,833.891541,480.117859,-350.622925,833.941467,538.011047,-358.629517,834.993164,527.926208,-415.24707,833.530701,478.230408,-336.172485,738.621399,547.52478,-352.458649,738.331848,531.940735,-418.722198,737.592468,468.140442,-409.662415,738.119202,,,,,,,,,,,,,,,,,,,,,,,,
00085_color_1715716104.631875.png,1999,1715716104.6290917,22.723946,1272.590942,1163.762085,-30.527515,1287.706543,1128.103638,-2.741287,1327.99707,1153.741821,57.910809,1318.740356,1168.547119,94.777924,1309.931519,1178.935059,120.847931,1290.100464,1194.225586,85.419807,1240.490234,1191.674927,110.77253,1225.335693,1188.455811,138.276413,1214.895752,1181.18042,305.178833,947.607178,1497.063843,251.422531,938.776672,1512.203857,199.462189,955.092896,1490.230103,132.441071,125.11496,759.643677,161.777267,128.719009,754.080872,184.137772,132.099899,751.317871,65.937202,76.182968,762.647522,96.243362,65.597992,756.434143,128.252655,58.944794,750.418091,86.463844,134.078232,771.509827,71.051544,162.662231,762.365051,37.468132,139.394958,775.245239,-26.004097,124.785156,788.64447,479.853943,-410.26178,833.885986,480.108185,-350.650116,833.925293,538.020569,-358.676453,834.976196,527.932373,-415.250153,833.525024,478.242279,-336.210815,738.601868,547.515259,-352.48996,738.327881,531.939697,-418.755493,737.567566,468.153076,-409.703094,738.093994,,,,,,,,,,,,,,,,,,,,,,,,
